id,legacy_plan_id,model_name,manufacturer,classification,detail_url,quote_url,floorplan_url,photo_count,floorplan_count,matterport
floorplan-234810,234810,Skyliner / F601,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234810/skyliner/f601/,https://www.texashomeoutlet.com/quote/floorplan/234810/dealer/3522,,1,0,False
floorplan-234811,234811,Skyliner / F602,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234811/skyliner/f602/,https://www.texashomeoutlet.com/quote/floorplan/234811/dealer/3522,,1,0,False
floorplan-234812,234812,Skyliner / F600,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234812/skyliner/f600/,https://www.texashomeoutlet.com/quote/floorplan/234812/dealer/3522,,1,0,False
floorplan-234813,234813,Shore Park / D802,Skyline Homes,Park Model,https://www.texashomeoutlet.com/plan/234813/shore-park/d802/,https://www.texashomeoutlet.com/quote/floorplan/234813/dealer/3522,,1,0,False
floorplan-234815,234815,Genesis / 9306,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234815/genesis/9306/,https://www.texashomeoutlet.com/quote/floorplan/234815/dealer/3522,,1,0,False
floorplan-234816,234816,Genesis / 9300,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234816/genesis/9300/,https://www.texashomeoutlet.com/quote/floorplan/234816/dealer/3522,,1,0,False
floorplan-234931,234931,Prairie Dune / 8800,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234931/prairie-dune/8800/,https://www.texashomeoutlet.com/quote/floorplan/234931/dealer/3522,,1,0,False
floorplan-234932,234932,Prairie Dune / 8853,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234932/prairie-dune/8853/,https://www.texashomeoutlet.com/quote/floorplan/234932/dealer/3522,,1,0,False
floorplan-234933,234933,Prairie Dune / 8903,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234933/prairie-dune/8903/,https://www.texashomeoutlet.com/quote/floorplan/234933/dealer/3522,,1,0,False
floorplan-234934,234934,Prairie Dune / 8979,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/234934/prairie-dune/8979/,https://www.texashomeoutlet.com/quote/floorplan/234934/dealer/3522,,1,0,False
floorplan-235676,235676,Homestar / The Juniper H68B,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/235676/homestar/the-juniper-h68b/,https://www.texashomeoutlet.com/quote/floorplan/235676/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235676/The%20Juniper%20H68B%20floor-plans-SMALL.jpg,0,1,False
floorplan-235677,235677,Homestar / The Aspen H68C,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/235677/homestar/the-aspen-h68c/,https://www.texashomeoutlet.com/quote/floorplan/235677/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235677/The%20Aspen%20H68C%20floor-plans-SMALL.jpg,0,1,True
floorplan-235678,235678,Homestar / The Evergreen H76A,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/235678/homestar/the-evergreen-h76a/,https://www.texashomeoutlet.com/quote/floorplan/235678/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235678/The%20Evergreen%20H76A%20floor-plans-SMALL.jpg,0,1,True
floorplan-235679,235679,Homestar / The Fairview P48B,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235679/homestar/the-fairview-p48b/,https://www.texashomeoutlet.com/quote/floorplan/235679/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235679/The%20Fairview%20P48B%20floor-plans-SMALL.jpg,0,1,False
floorplan-235680,235680,Homestar / The Brookside P56B,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235680/homestar/the-brookside-p56b/,https://www.texashomeoutlet.com/quote/floorplan/235680/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235680/The%20Brookside%20P56B%20floor-plans-SMALL.jpg,0,1,False
floorplan-235681,235681,Homestar / The Hampton P60C,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235681/homestar/the-hampton-p60c/,https://www.texashomeoutlet.com/quote/floorplan/235681/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235681/The%20Hampton%20P60C%20floor-plans-SMALL.jpg,0,1,False
floorplan-235689,235689,Magellan / Balboa 7266,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/235689/magellan/balboa-7266/,https://www.texashomeoutlet.com/quote/floorplan/235689/dealer/3522,,1,0,False
floorplan-235690,235690,Magellan / Barbosa 7272,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/235690/magellan/barbosa-7272/,https://www.texashomeoutlet.com/quote/floorplan/235690/dealer/3522,,1,0,True
floorplan-235691,235691,Magellan / Malocello 7640,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235691/magellan/malocello-7640/,https://www.texashomeoutlet.com/quote/floorplan/235691/dealer/3522,,1,0,False
floorplan-235692,235692,Magellan / Piccard 7648,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235692/magellan/piccard-7648/,https://www.texashomeoutlet.com/quote/floorplan/235692/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/235692/7648.jpg,1,1,True
floorplan-235693,235693,Magellan / Cousteau 7652,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/235693/magellan/cousteau-7652/,https://www.texashomeoutlet.com/quote/floorplan/235693/dealer/3522,,1,0,True
floorplan-236498,236498,New Vision / The Larry Dale NV-1013,New Vision Manufacturing,Single Wide,https://www.texashomeoutlet.com/plan/236498/new-vision/the-larry-dale-nv-1013/,https://www.texashomeoutlet.com/quote/floorplan/236498/dealer/3522,,1,0,False
